County,State,2010 Census,Population Estimate 2017
Autauga County, Alabama,54571,55504
Baldwin County, Alabama,182265,212628
Barbour County, Alabama,27457,25270
Bibb County, Alabama,22915,22668
Blount County, Alabama,57322,58013
Bullock County, Alabama,10914,10309
Butler County, Alabama,20947,19825
Calhoun County, Alabama,118572,114728
Chambers County, Alabama,34215,33713
Cherokee County, Alabama,25989,25857
Chilton County, Alabama,43643,44067
Choctaw County, Alabama,13859,12945
Clarke County, Alabama,25833,24083
Clay County, Alabama,13932,13367
Cleburne County, Alabama,14972,14900
Coffee County, Alabama,49948,51874
Colbert County, Alabama,54428,54500
Conecuh County, Alabama,13228,12469
Coosa County, Alabama,11539,10754
Covington County, Alabama,37765,37092
Crenshaw County, Alabama,13906,13871
Cullman County, Alabama,80406,82755
Dale County, Alabama,50251,49226
Dallas County, Alabama,43820,39215
DeKalb County, Alabama,71109,71617
Elmore County, Alabama,79303,81677
Escambia County, Alabama,38319,37447
Etowah County, Alabama,104430,102755
Fayette County, Alabama,17241,16468
Franklin County, Alabama,31704,31495
Geneva County, Alabama,26790,26421
Greene County, Alabama,9045,8330
Hale County, Alabama,15760,14812
Henry County, Alabama,17302,17147
Houston County, Alabama,101547,104346
Jackson County, Alabama,53227,51909
Jefferson County, Alabama,658466,659197
Lamar County, Alabama,14564,13946
Lauderdale County, Alabama,92709,92538
Lawrence County, Alabama,34339,33049
Lee County, Albama,140247,161604
Limestone County, Alabama,82782,94402
Lowndes County, Alabama,11299,10076
Macon County, Alabama,21452,18755
Madison County, Alabama,334811,361046
Marengo County, Alabama,21027,19375
Marion County, Alabama,30776,29833
Marshall County, Alabama,93019,95548
Mobile County, Alabama,412992,413955
Monroe County, Alabama,23068,21327
Montgomery County, Alabama,229363,226646
Morgan County, Alabama,119490,118818
Perry County, Alabama,10591,9339
Pickens County, Alabama,19746,20176
Pike County, Alabama,32899,33267
Randolph County, Alabama,22913,22670
Russell County, Alabama,52947,57045
St. Clair County, Alabama,83593,88199
Shelby County, Alabama,195085,213605
Sumter County, Alabama,13763,12687
Talladega County, Alabama,82291,80065
Tallapoosa County, Alabama,41616,40681
Tuscaloosa County, Alabama,194656,207811
Walker County, Alabama,67023,64058
Washington County, Alabama,17581,16531
Wilcox County, Alabama,11670,10719
Winston County, Alabama,24484,23722
Aleutians East Borough, Alaska,3141,3370
Aleutians West Census Area, Alaska,5561,5763
Anchorage Municipality, Alaska,291826,294356
Bethel Census Area, Alaska,17013,18076
Bristol Bay Borough, Alaska,997,867
Denali Borough, Alaska,1826,2074
Dillingham Census Area, Alaska,4847,4932
Fairbanks North Star Borough, Alaska,97581,99703
Haines Borough, Alaska,2508,2526
Hoonah-Angoon Census Area, Alaska,2150,2145
Juneau City and Borough, Alaska,31275,32094
Kenai Peninsula Borough, Alaska,55400,58617
Ketchikan Gateway Borough, Alaska,13477,13856
Kodiak Island Borough, Alaska,13592,13448
Kusilvak Census Area, Alaska,7459,8202
Lake and Peninsula Borough, Alaska,1631,1620
Matanuska-Susitna Borough, Alaska,88995,106532
Nome Census Area, Alaska,9492,9921
North Slope Borough, Alaska,9430,9782
Northwest Arctic Borough, Alaska,7523,7684
Petersburg Borough, Alaska,3815,3281
Prince of Wales-Hyder Census Area, Alaska,5559,6443
Sitka City and Borough, Alaska,8881,8689
Skagway Municipality, Alaska,968,1157
Southeast Fairbanks Census Area, Alaska,7029,6888
Valdez-Cordova Census Area, Alaska,9636,9278
Wrangell City and Borough, Alaska,2369,2521
Yakutat City and Borough, Alaska,662,605
Yukon-Koyukuk Census Area, Alaska,5588,5365
Apache County, Arizona,71518,71606
Cochise County, Arizona,131346,124756
Coconino County, Arizona,134421,140776
Gila County, Arizona,53597,53501
Graham County, Arizona,37220,37466
Greenlee County, Arizona,8437,9455
La Paz County, Arizona,20489,20601
Maricopa County, Arizona,3817117,4307033
Mohave County, Arizona,200186,207200
Navajo County, Arizona,107449,108956
Pima County, Arizona,980263,1022769
Pinal County, Arizona,375770,430237
Santa Cruz County, Arizona,47420,46212
Yavapai County, Arizona,211033,228168
Yuma County, Arizona,195751,207534
Arkansas County, Arkansas,19019,17967
Ashley County, Arkansas,21853,20283
Baxter County, Arkansas,41513,41355
Benton County, Arkansas,221339,266300
Boone County, Arkansas,36903,37381
Bradley County, Arkansas,11508,10864
Calhoun County, Arkansas,5368,5247
Carroll County, Arkansas,27446,27944
Chicot County, Arkansas,11800,10636
Clark County, Arkansas,22995,22293
Clay County, Arkansas,16083,14920
Cleburne County, Arkansas,25970,25048
Cleveland County, Arkansas,8689,8202
Columbia County, Arkansas,24552,23627
Conway County, Arkansas,21273,20916
Craighead County, Arkansas,96443,107115
Crawford County, Arkansas,61948,62996
Crittenden County, Arkansas,50902,48750
Cross County, Arkansas,17870,16863
Dallas County, Arkansas,8116,7393
Desha County, Arkansas,13008,11764
Drew County, Arkansas,18509,18547
Faulkner County, Arkansas,113237,123654
Franklin County, Arkansas,18125,17890
Fulton County, Arkansas,12245,12055
Garland County, Arkansas,96024,98658
Grant County, Arkansas,17853,18165
Greene County, Arkansas,42090,45053
Hempstead County, Arkansas,22609,21861
Hot Spring County, Arkansas,32923,33574
Howard County, Arkansas,13789,13478
Independence County, Arkansas,36647,37504
Izard County, Arkansas,13696,13686
Jackson County, Arkansas,17997,17135
Jefferson County, Arkansas,77435,69115
Johnson County, Arkansas,25540,26552
Lafayette County, Arkansas,7645,6862
Lawrence County, Arkansas,17415,16525
Lee County, Arkansas,10424,9176
Lincoln County, Arkansas,14134,13646
Little River County, Arkansas,13171,12359
Logan County, Arkansas,22353,21722
Lonoke County, Arkansas,68356,72898
Madison County, Arkansas,15717,16339
Marion County, Arkansas,16653,16428
Miller County, Arkansas,43462,43984
Mississippi County, Arkansas,46480,42159
Monroe County, Arkansas,8149,7085
Montgomery County, Arkansas,9487,8919
Nevada County, Arkansas,8997,8327
Newton County, Arkansas,8330,7828
Ouachita County, Arkansas,26120,23868
Perry County, Arkansas,10445,10348
Phillips County, Arkansas,21757,18572
Pike County, Arkansas,11291,10726
