cmplnt_num,Borough,Complaint date,cmplnt_fr_tm,law_cat_cd,loc_of_occur_desc,pd_desc,prem_typ_desc
720715336,MANHATTAN,2018-02-28,10:00:00,FELONY,INSIDE,"LARCENY,GRAND FROM EATERY, UNATTENDED",RESTAURANT/DINER
508310312,BROOKLYN,2018-02-28,19:28:00,FELONY,INSIDE,"BRIBERY,PUBLIC ADMINISTRATION",RESIDENCE - APT. HOUSE
909421152,BROOKLYN,2018-02-28,23:30:00,FELONY,FRONT OF,CRIMINAL CONTEMPT 1,RESIDENCE - APT. HOUSE
941058716,BRONX,2018-02-28,18:30:00,FELONY,FRONT OF,"ASSAULT 2,1,UNCLASSIFIED",STREET
568917674,MANHATTAN,2018-02-28,14:00:00,FELONY,INSIDE,"LARCENY,GRAND BY DISHONEST EMP",GYM/FITNESS FACILITY
856088207,BRONX,2018-02-28,16:00:00,FELONY,REAR OF,"ROBBERY,POCKETBOOK/CARRIED BAG",GROCERY/BODEGA
908740141,BROOKLYN,2018-02-28,17:30:00,FELONY,FRONT OF,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",STREET
489142692,MANHATTAN,2018-02-28,5:15:00,FELONY,FRONT OF,"LARCENY,GRAND OF AUTO",PARKING LOT/GARAGE (PUBLIC)
478010471,MANHATTAN,2018-02-28,15:00:00,FELONY,INSIDE,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",RESIDENCE - APT. HOUSE
607053871,MANHATTAN,2018-02-28,3:22:00,FELONY,FRONT OF,"ROBBERY,OPEN AREA UNCLASSIFIED",GAS STATION
284742968,MANHATTAN,2018-02-28,16:45:00,FELONY,,RECKLESS ENDANGERMENT 1,STREET
865215643,STATEN ISLAND,2018-02-28,6:45:00,FELONY,INSIDE,"MISCHIEF,CRIMINAL,    UNCL 2ND",DEPARTMENT STORE
271972122,BROOKLYN,2018-02-28,8:00:00,FELONY,INSIDE,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",RESIDENCE - APT. HOUSE
700214984,BROOKLYN,2018-02-28,19:20:00,FELONY,,"ROBBERY,PERSONAL ELECTRONIC DEVICE",STREET
134513508,BRONX,2018-02-28,9:25:00,FELONY,FRONT OF,"BRIBERY,PUBLIC ADMINISTRATION",STREET
711920020,BRONX,2018-02-28,17:21:00,FELONY,,WEAPONS POSSESSION 1 & 2,STREET
950732514,STATEN ISLAND,2018-02-28,6:30:00,FELONY,INSIDE,WEAPONS POSSESSION 1 & 2,RESIDENCE-HOUSE
141296685,MANHATTAN,2018-02-28,13:30:00,FELONY,INSIDE,"BURGLARY,RESIDENCE,DAY",RESIDENCE - APT. HOUSE
202230203,MANHATTAN,2018-02-28,16:40:00,FELONY,FRONT OF,WEAPONS POSSESSION 3,STREET
722894943,MANHATTAN,2018-02-28,14:00:00,FELONY,INSIDE,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",RESIDENCE - APT. HOUSE
132179788,MANHATTAN,2018-02-28,14:00:00,FELONY,INSIDE,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",RESIDENCE - APT. HOUSE
502032046,QUEENS,2018-02-28,8:25:00,FELONY,,"LARCENY,GRAND OF MOTORCYCLE",STREET
503004406,MANHATTAN,2018-02-28,11:00:00,FELONY,INSIDE,CRIMINAL CONTEMPT 1,COMMERCIAL BUILDING
762136855,MANHATTAN,2018-02-28,20:45:00,FELONY,INSIDE,CRIMINAL CONTEMPT 1,CLOTHING/BOUTIQUE
992032756,BROOKLYN,2018-02-28,7:00:00,FELONY,,"LARCENY,GRAND OF AUTO",STREET
129058880,BROOKLYN,2018-02-28,1:30:00,FELONY,,"CONTROLLED SUBSTANCE,POSSESS.",STREET
247615622,MANHATTAN,2018-02-28,18:30:00,FELONY,FRONT OF,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",PARK/PLAYGROUND
526484757,BROOKLYN,2018-02-28,22:21:00,FELONY,INSIDE,CRIMINAL CONTEMPT 1,RESIDENCE - PUBLIC HOUSING
642531056,BROOKLYN,2018-02-28,14:14:00,FELONY,INSIDE,"BURGLARY,RESIDENCE,DAY",RESIDENCE - APT. HOUSE
268270440,STATEN ISLAND,2018-02-28,18:45:00,FELONY,INSIDE,"LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD",RESIDENCE-HOUSE
332874500,MANHATTAN,2018-02-28,18:50:00,FELONY,,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",TRANSIT - NYC SUBWAY
407768610,QUEENS,2018-02-28,20:00:00,FELONY,,CRIMINAL CONTEMPT 1,STREET
853804957,BROOKLYN,2018-02-28,18:10:00,FELONY,FRONT OF,"ROBBERY,BICYCLE",STREET
515292583,BRONX,2018-02-28,3:00:00,FELONY,INSIDE,SEXUAL ABUSE,RESIDENCE - APT. HOUSE
382278400,BRONX,2018-02-28,8:30:00,FELONY,INSIDE,CRIMINAL CONTEMPT 1,CLOTHING/BOUTIQUE
667998788,BROOKLYN,2018-02-28,13:12:00,FELONY,,"LARCENY,GRAND FROM PERSON,PURS",STREET
344077011,QUEENS,2018-02-28,8:00:00,FELONY,INSIDE,"BURGLARY,RESIDENCE,UNKNOWN TIM",RESIDENCE-HOUSE
325132012,BROOKLYN,2018-02-28,13:56:00,FELONY,,"TAMPERING 1,CRIMINAL",TRANSIT - NYC SUBWAY
897495560,BROOKLYN,2018-02-28,3:55:00,FELONY,FRONT OF,"CONTROLLED SUBSTANCE,INTENT TO",STREET
863464751,BROOKLYN,2018-02-28,0:20:00,FELONY,FRONT OF,WEAPONS POSSESSION 3,STREET
295812887,BROOKLYN,2018-02-28,16:45:00,FELONY,INSIDE,"MISCHIEF,CRIMINAL,    UNCL 2ND",VARIETY STORE
470296629,QUEENS,2018-02-28,18:00:00,FELONY,INSIDE,"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION",RESIDENCE-HOUSE
474099851,QUEENS,2018-02-28,20:10:00,FELONY,OPPOSITE OF,"CONTROLLED SUBSTANCE, POSSESSI",RESIDENCE - PUBLIC HOUSING
449084498,MANHATTAN,2018-02-28,0:10:00,FELONY,INSIDE,"ASSAULT 2,1,UNCLASSIFIED",RESIDENCE - PUBLIC HOUSING
341748111,MANHATTAN,2018-02-28,22:33:00,FELONY,INSIDE,"BURGLARY,COMMERCIAL,NIGHT",COMMERCIAL BUILDING
340989442,BROOKLYN,2018-02-28,22:40:00,FELONY,INSIDE,"BURGLARY,RESIDENCE,NIGHT",RESIDENCE - APT. HOUSE
452277449,BROOKLYN,2018-02-28,14:30:00,FELONY,INSIDE,"CONTROLLED SUBSTANCE, INTENT T",RESIDENCE - PUBLIC HOUSING
661475130,MANHATTAN,2018-02-28,9:00:00,FELONY,INSIDE,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",MAILBOX OUTSIDE
