Country,Continent,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,AS,1.2,0.8,0.8,0.7,0.7,0.8,0.7,1.3,1.5,6.2,7.8,11,9.7,7.8,7.1,7.7,8.5
Albania,EU,3.4,3.7,3.8,4.3,4.4,4.7,4.6,4.5,4.5,3.1,4.1,4.3,4,4.2,4.5,4.1,4.5
Algeria,AF,83,79,81.7,81.1,79.3,89.7,93.9,96.3,102.3,109.8,112.7,121.5,129.7,128.8,142.7,144.8,136.2
American Samoa,OC,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4
Angola,AF,13.1,15,15.7,18.9,19.9,20.3,21.3,24.1,23.4,24.9,30.3,30.8,32.9,34.2,35.8,36.2,21
Antarctica,AN,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0,0,0,0,0,0
Antigua and Barbuda,NA,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Argentina,SA,139.2,128.7,120.9,135.1,142.1,153.5,157.6,168.5,170.7,169.4,188.2,192.5,197.3,198.9,199.3,200.1,203.3
Armenia,AS,8.4,8.5,8.3,8.8,9,10.2,10.2,11.2,11.1,10,4.8,5.3,6.1,5.9,6,5.1,5.5
Aruba,SA,1,1,1,1,1,1,1.1,1,1.1,1,1.1,1.2,1.3,1.2,1.2,1.2,1.3
Australia,OC,348.3,350.4,359.1,362,374.5,380.4,386.1,394.5,394.5,404.9,399.2,397.1,399.4,392.3,391.4,397.7,408.1
Austria,EU,67,72.4,73.1,79.2,78.3,80.6,76.2,73,72.3,66.8,72.2,67.8,65.7,65.9,62.9,64.8,65.2
Azerbaijan,AS,43.7,31.2,34.5,33.9,36.4,37.2,40.1,38,39.1,31.9,33.9,33.6,36,34.2,34.9,36.5,35.6
"Bahamas, The",NA,3.5,3.4,3.4,4.2,4.3,4.9,4.9,4.7,5.1,3.6,3.6,3,3.4,3.2,3.1,2.9,3.1
Bahrain,AS,20.3,20.8,21.9,22.5,23.1,25.3,27.8,29.2,30.5,30.9,31.4,32.9,35,38.1,37.1,38.4,38
Bangladesh,AS,29.1,32.3,34.8,37.4,39.5,41.6,45.1,48.2,51.5,56.3,55.6,58,63.4,64.9,68.1,73.2,79.3
Barbados,NA,1.7,1.7,1.7,1.7,1.2,1.6,1.5,1.3,1.4,1.5,1.4,1.9,1.8,1.8,1.6,1.7,1.8
Belarus,EU,59.6,54.3,50.9,55.9,54.7,64.1,66.4,65.8,66.8,60.9,63.5,67.7,68.2,65.2,66.2,56.7,56
Belgium,EU,145.3,143.5,142.7,151.2,152.6,151.8,142.4,141.7,151.5,132.3,141.8,133.9,129,133,125.9,131,133.1
Belize,NA,0.7,0.9,0.8,0.8,0.9,1,1,1,1,0.5,0.5,0.4,0.5,0.5,0.5,0.6,0.6
Benin,AF,1.7,1.7,1.7,2.1,2.4,2.5,3,3.3,3.4,4.5,5.1,4.7,4.4,4.5,4.8,5.4,5.6
Bermuda,NA,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.8,0.8,0.7,0.7,0.5,0.6,0.6,0.7,0.6,0.8
Bhutan,AS,0.2,0.2,0.3,0.3,0.2,0.3,0.3,0.2,0.3,0.5,0.5,0.5,0.7,0.6,0.6,0.6,0.6
Bolivia,SA,9.2,8,9.4,11.7,11.7,11.6,12.8,13,14,13,13.6,13.3,15.9,16.3,16.5,16,17.7
Bosnia and Herzegovina,EU,15.6,15.5,16.1,14.5,13,11.2,11.3,11.5,12.8,15.3,16.4,19.3,18,17.2,17.9,18,18.7
Botswana,AF,3.9,3.5,3.5,3.3,3.9,4.2,4.2,4.1,3.9,4.2,3.6,3.5,3.3,4.3,4.7,5.8,5.8
Brazil,SA,355,358.6,354.7,355.1,364.6,380.4,393.8,411.4,436.6,414.9,472.3,477.6,498.6,527.4,553.9,538.3,505.9
Brunei,AS,3.8,4.2,4.9,5.2,5.8,6.6,9.8,10.4,10.5,7.2,8.5,8.8,8.4,8,8.9,9.7,10
Bulgaria,EU,43.3,43.3,42.3,44,43.9,44.6,45.7,48.4,47.2,41.6,42.4,49.4,45.6,41.1,44.3,46.5,42.9
Burkina Faso,AF,1.1,1.1,1.1,1.1,1.2,1.1,1.2,1.4,1.4,1.7,1.7,2.1,2.5,3.1,2.9,3.5,3.4
Burma (Myanmar),AS,10,9.8,10.8,12.2,12.8,16.4,14.9,15.7,14.6,12,11.7,11.8,14.6,16.9,21.3,24.5,26.9
