Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Planning Address,Supervisor District,Planning Neighborhood,City Analysis Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,DBI Permit Number,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Recording Number,Recording Date,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,120% AMI,150% AMI,Latitude,Longitude,Location
1984-010,(6) Complete,South Beach Marina Apartments,2,Townsend,St,94107,Not Applicable,6,South of Market,Financial District/South Beach,MOHCD,Bonds Only,0,Rehabilitation,Rental,,,,12/31/1899,,"South Beach Marina , Inc.",,"South Beach Marina , Inc.",,Not Applicable,,,,,,,414,101,313,24,0,0,53,48,0,0,0,0,0,,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,37.78240667,-122.389807907999,"(37.78240667, -122.389807907999)"
2016-008,(5) First Construction Document Issued,St Francis of Assisi,145,Guerrero,St,94103,Not Applicable,8,Mission,Mission,MOHCD,Bonds Only,0,Rehabilitation,Rental,11/01/2016,,,11/01/2016,05/01/2018,Mercy Housing California,,"Mercy Housing 69, LP",,Not Applicable,,,,,,,110,108,2,98,0,0,108,0,0,0,0,0,2,2bd,0,108,0,0,0,0,0,0,0,56,0,52,0,0,0,0,0,37.768922456,-122.423874059999,"(37.768922456, -122.423874059999)"
2014-019,(2) Predevelopment Feasibility,Goodwill,1500,Mission ,St,94103,1500 MISSION ST 94103,6,South of Market,Mission,MOHCD,Bonds Only,0,New Construction,Rental,11/01/2017,,,11/01/2017,11/01/2020,Related California,,"Goodwill SF Urban Housing, LLC",,2014-000362PRJ,http://propertymap.sfplanning.org/?search=2014-000362PRJ,"2014-000362DNX,2014-000362ENV,2014-000362GPA,2014-000362MAP,2014-000362PCA,2014-000362SHD,2014-000362SUB,2014.1208PPA,2014.1208U",,,,,548,110,438,20,0,40,29,39,2,0,0,0,0,,110,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,37.774186409,-122.418126654999,"(37.774186409, -122.418126654999)"
2014-032,(2) Predevelopment Feasibility,Britton Courts (1250 Sunnydale Ave),171,Loehr,St,94134,Not Applicable,10,Visitacion Valley,Visitacion Valley,MOHCD,Bonds Only,0,Rehabilitation,Rental,12/01/2017,,,12/01/2017,12/01/2018,Mercy Housing California,,"Mercy Housing California 74, LP",,Not Applicable,,,,,,,92,91,1,99,0,0,0,62,21,8,0,0,1,2bd,91,0,0,0,0,0,0,0,0,46,0,45,0,0,0,0,0,37.711716304,-122.413358024999,"(37.711716304, -122.413358024999)"
2015-052,(2) Predevelopment Feasibility,Dorothy Day Community,54,McAllister,St,94102,Not Applicable,6,Downtown/Civic Center,Tenderloin,MOHCD,Bonds Only,0,Rehabilitation,Rental,12/01/2017,,,12/01/2017,12/01/2018,Mercy Housing California,,"Mercy Housing California 75, LP",,Not Applicable,,,,,,,100,99,1,99,0,26,73,0,0,0,0,0,1,1bd,0,99,0,0,0,0,0,0,0,10,0,89,0,0,0,0,0,37.781289431,-122.413173133999,"(37.781289431, -122.413173133999)"
2013-014,(5) First Construction Document Issued,1601 Mariposa,1601,Mariposa,St,94107,"395 WISCONSIN ST, SAN FRANCISCO, CA",10,Potrero Hill,Potrero Hill,MOHCD,Bonds Only,0,New Construction,Rental,08/01/2017,09/12/2016,,08/01/2017,10/01/2019,Susan Smartt,,"Mariposa Housing Partners, LLC","201603010904, 201603031058, 201603141952, 201603141955, 201603141956",2012.1398,http://propertymap.sfplanning.org/?search=2012.1398,"2012.1398CND,2012.1398E,2012.1398E_3,2012.1398E_5,2012.1398K,2012.1398PPA,2012.1398U,2012.1398X",,,,,299,60,239,20,0,14,22,22,2,0,0,0,1,1bd,60,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,37.763011331,-122.399486332999,"(37.763011331, -122.399486332999)"
1990-001,(2) Predevelopment Feasibility,San Cristina,1000,Market ,St,94102,0,6,Downtown/Civic Center,Tenderloin,MOHCD,Multifamily,0,Rehabilitation,Rental,12/24/2019,,,01/15/2020,,Community Housing Partnership,,Community Housing Partnership,,Not Applicable,,,,,,,58,58,0,100,58,0,0,0,0,0,0,0,0,,0,0,0,58,0,0,0,0,0,58,0,0,0,0,0,0,0,37.782043701,-122.410988655999,"(37.782043701, -122.410988655999)"
1990-008,(2) Predevelopment Feasibility,Hamlin Hotel,385,Eddy,St,94102,0,6,Downtown/Civic Center,Tenderloin,MOHCD,Multifamily,0,Rehabilitation,Rental,,,,12/31/1899,,Chinatown Community Development Center,,Hamlin Hotel LP,,Not Applicable,,,,,,,69,67,2,97,67,0,0,0,0,0,0,0,2,SRO,0,0,0,67,0,0,0,0,0,67,0,0,0,0,0,0,0,37.783559921,-122.413863073999,"(37.783559921, -122.413863073999)"
1990-009,(2) Predevelopment Feasibility,Senator Residence,519,Ellis ,St,94102,0,6,Downtown/Civic Center,Tenderloin,MOHCD,Multifamily,0,Rehabilitation,Rental,,,,12/31/1899,,Community Housing Partnership,,,,Not Applicable,,,,,,,89,89,0,100,71,0,18,0,0,0,0,0,0,,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.784316395,-122.414861156999,"(37.784316395, -122.414861156999)"
2006-001,(5) First Construction Document Issued,1036 Mission,1036,Mission,St,94103,1036 MISSION ST 94103,6,South of Market,South of Market,MOHCD,Multifamily,0,New Construction,Rental,09/01/2016,09/11/2015,06/08/2016,06/08/2016,07/01/2018,Tenderloin Neighborhood Development Corporation,,"1036 Mission Associates, LP",,2014.0103,http://propertymap.sfplanning.org/?search=2014.0103,"2014.0103C,2014.0103V,2014.0103X",04/24/2014,,,,83,83,0,100,0,0,38,38,7,0,0,0,0,,43,0,0,40,0,40,0,20,20,43,0,0,0,0,0,0,0,37.780539017,-122.409843794999,"(37.780539017, -122.409843794999)"
