addr_pct_cd,boro_nm,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_num,cmplnt_to_dt,cmplnt_to_tm,crm_atpt_cptd_cd,juris_desc,latitude,law_cat_cd,loc_of_occur_desc,longitude,ofns_desc,patrol_boro,pd_cd,pd_desc,prem_typ_desc,rpt_dt,vic_age_group,vic_race,vic_sex,x_coord_cd,y_coord_cd,susp_age_group,susp_race,susp_sex
13,MANHATTAN,2018-02-28,10:00:00,720715336,2018-02-28T00:00:00.000,11:00:00,COMPLETED,N.Y. POLICE DEPT,40.736218594,FELONY,INSIDE,-73.990984024,GRAND LARCENY,PATROL BORO MAN SOUTH,411.0,"LARCENY,GRAND FROM EATERY, UNATTENDED",RESTAURANT/DINER,2018-02-28T00:00:00.000,25-44,WHITE,F,986749.0,207498.0,UNKNOWN,UNKNOWN,U
18,MANHATTAN,2018-02-28,18:32:00,369423003,2018-02-28T00:00:00.000,18:40:00,COMPLETED,N.Y. POLICE DEPT,40.756978196,MISDEMEANOR,INSIDE,-73.978340613,PETIT LARCENY,PATROL BORO MAN SOUTH,333.0,"LARCENY,PETIT FROM STORE-SHOPL",CHAIN STORE,2018-03-02T00:00:00.000,UNKNOWN,UNKNOWN,D,990251.0,215062.0,UNKNOWN,UNKNOWN,U
33,MANHATTAN,2018-02-28,07:50:00,547355225,2018-02-28T00:00:00.000,07:52:00,COMPLETED,N.Y. POLICE DEPT,40.847243182,MISDEMEANOR,INSIDE,-73.938136769,PETIT LARCENY,PATROL BORO MAN NORTH,338.0,"LARCENY,PETIT FROM BUILDING,UN",GYM/FITNESS FACILITY,2018-02-28T00:00:00.000,45-64,WHITE HISPANIC,M,1001366.0,247954.0,UNKNOWN,WHITE HISPANIC,M
104,QUEENS,2018-02-28,10:00:00,489785825,2018-02-28T00:00:00.000,10:05:00,COMPLETED,N.Y. POLICE DEPT,40.700500102,MISDEMEANOR,INSIDE,-73.911245963,PETIT LARCENY,PATROL BORO QUEENS NORTH,333.0,"LARCENY,PETIT FROM STORE-SHOPL",FOOD SUPERMARKET,2018-02-28T00:00:00.000,UNKNOWN,UNKNOWN,D,1008860.0,194497.0,25-44,WHITE HISPANIC,M
83,BROOKLYN,2018-02-28,19:30:00,458985571,2018-02-28T00:00:00.000,19:30:00,COMPLETED,N.Y. POLICE DEPT,40.70233066,VIOLATION,INSIDE,-73.922359008,HARRASSMENT 2,PATROL BORO BKLYN NORTH,638.0,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,2018-03-01T00:00:00.000,25-44,WHITE HISPANIC,F,1005778.0,195161.0,,,
69,BROOKLYN,2018-02-28,19:00:00,916714260,2018-02-28T00:00:00.000,19:15:00,COMPLETED,N.Y. POLICE DEPT,40.644724074,MISDEMEANOR,,-73.901846639,PETIT LARCENY,PATROL BORO BKLYN SOUTH,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMMERCIAL BUILDING,2018-02-28T00:00:00.000,UNKNOWN,UNKNOWN,D,1011489.0,174179.0,45-64,BLACK,F
77,BROOKLYN,2018-02-28,19:28:00,508310312,2018-02-28T00:00:00.000,19:30:00,COMPLETED,N.Y. POLICE DEPT,40.67081759,FELONY,INSIDE,-73.935110087,MISCELLANEOUS PENAL LAW,PATROL BORO BKLYN NORTH,760.0,"BRIBERY,PUBLIC ADMINISTRATION",RESIDENCE - APT. HOUSE,2018-02-28T00:00:00.000,UNKNOWN,UNKNOWN,E,1002251.0,183677.0,25-44,BLACK,M
120,STATEN ISLAND,2018-02-28,16:00:00,198240614,2018-02-28T00:00:00.000,16:03:00,COMPLETED,N.Y. POLICE DEPT,40.637680588,MISDEMEANOR,INSIDE,-74.124084513,OFFENSES AGAINST PUBLIC ADMINI,PATROL BORO STATEN ISLAND,749.0,VIOLATION OF ORDER OF PROTECTI,RESIDENCE-HOUSE,2018-02-28T00:00:00.000,45-64,WHITE,F,949812.0,171622.0,18-24,WHITE,F
75,BROOKLYN,2018-02-28,23:30:00,909421152,,,COMPLETED,N.Y. POLICE DEPT,40.675996168000005,FELONY,FRONT OF,-73.876971895,MISCELLANEOUS PENAL LAW,PATROL BORO BKLYN NORTH,198.0,CRIMINAL CONTEMPT 1,RESIDENCE - APT. HOUSE,2018-03-01T00:00:00.000,25-44,BLACK,F,1018376.0,185581.0,25-44,BLACK,M
40,BRONX,2018-02-28,20:05:00,997984645,2018-02-28T00:00:00.000,20:10:00,COMPLETED,N.Y. HOUSING POLICE,40.808450659,MISDEMEANOR,INSIDE,-73.926320768,DANGEROUS DRUGS,PATROL BORO BRONX,567.0,"MARIJUANA, POSSESSION 4 & 5",RESIDENCE - PUBLIC HOUSING,2018-02-28T00:00:00.000,UNKNOWN,UNKNOWN,E,1004647.0,233823.0,25-44,BLACK,M
