city_neighborhood,affordable_units,market_rate_units
Bayview,2884,5688
Bernal Heights,169,2
Castro/Up Market,126,115
Chinatown,523,22
Financial District,1625,3746
Hayes Valley,293,994
Inner Sunset,0,29
Japantown,134,1
Lakeshore,287,5448
Marina,9,164
Mission,1602,2718
Mission Bay,912,899
Nob Hill,30,254
North Beach,71,1
Outer Mission,209,54
Outer Richmond,9,49
Pacific Heights,243,3
Portola,7,47
Potrero Hill,165,1707
Presidio Heights,71,74
Russian Hill,0,20
South of Market,1341,3141
Sunset/Parkside,10,70
Tenderloin,975,1328
Treasure Island,104,1
Visitacion Valley,317,4
Western Addition,569,434
